State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,State_Abbr,Population_2010
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2010-07-30,Parts per billion,8.208333,21.0,22,20,Parts per million,0.020958,0.035,10,30,Parts per billion,0.014286,0.1,17,,Parts per million,0.147826,0.23,5,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2012-11-11,Parts per billion,6.614286,16.1,5,15,Parts per million,0.035125,0.046,9,39,Parts per billion,0.0375,0.2,5,,Parts per million,0.144444,0.2,0,2.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2002-05-15,Parts per billion,15.347826,28.0,5,26,Parts per million,0.046708,0.071,9,87,Parts per billion,0.914286,1.6,8,,Parts per million,0.575,0.8,0,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2001-03-15,Parts per billion,16.045455,32.0,6,30,Parts per million,0.035917,0.054,11,46,Parts per billion,7.681818,21.0,10,30.0,Parts per million,0.766667,1.2,9,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2000-09-13,Parts per billion,14.333333,26.0,15,25,Parts per million,0.010917,0.023,8,19,Parts per billion,2.1,5.3,14,,Parts per million,0.916667,1.3,15,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2003-03-05,Parts per billion,19.217391,24.0,16,23,Parts per million,0.004542,0.006,13,5,Parts per billion,3.5875,6.0,11,,Parts per million,0.770833,1.0,16,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2010-07-27,Parts per billion,10.333333,19.0,5,18,Parts per million,0.012375,0.021,7,18,Parts per billion,0.008696,0.1,20,0.0,Parts per million,0.170833,0.2,1,2.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2015-01-07,Parts per billion,9.554545,30.9,0,28,Parts per million,0.024583,0.031,19,29,Parts per billion,2.95,6.8,5,,Parts per million,0.220833,0.3,0,3.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2014-10-05,Parts per billion,17.195238,31.1,0,29,Parts per million,0.026708,0.047,10,44,Parts per billion,2.7,4.6,11,,Parts per million,0.429524,1.09,0,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2004-10-04,Parts per billion,15.705882,25.0,5,24,Parts per million,0.032333,0.063,10,61,Parts per billion,4.6,8.0,14,,Parts per million,0.966667,1.1,7,13.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2005-01-20,Parts per billion,21.916667,39.0,7,37,Parts per million,0.018792,0.032,12,27,Parts per billion,4.171429,11.0,11,,Parts per million,0.130435,0.4,7,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2010-05-03,Parts per billion,11.833333,28.0,23,26,Parts per million,0.032,0.054,9,46,Parts per billion,1.1625,1.7,23,,Parts per million,0.247917,0.49,22,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2003-12-31,Parts per billion,23.565217,39.0,17,37,Parts per million,0.012632,0.023,9,19,Parts per billion,2.2625,3.3,23,,Parts per million,0.65,1.2,0,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2014-06-11,Parts per billion,11.222727,37.3,21,35,Parts per million,0.034667,0.054,10,50,Parts per billion,0.258333,0.5,7,0.0,Parts per million,0.2,0.2,0,2.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2003-07-15,Parts per billion,8.25,18.0,20,17,Parts per million,0.013125,0.028,10,24,Parts per billion,2.9,3.3,20,,Parts per million,0.55,0.6,0,7.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2012-12-10,Parts per billion,5.666667,12.5,22,11,Parts per million,0.012208,0.021,1,18,Parts per billion,1.133333,4.1,14,6.0,Parts per million,0.163333,0.22,10,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2006-12-13,Parts per billion,22.818182,45.0,17,42,Parts per million,0.007167,0.017,9,14,Parts per billion,2.541667,8.0,15,11.0,Parts per million,0.416667,1.9,21,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2015-08-23,Parts per billion,5.438095,16.3,0,15,Parts per million,0.015542,0.023,10,21,Parts per billion,2.775,3.8,12,4.0,Parts per million,0.1,0.1,0,1.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2015-04-20,Parts per billion,9.716667,20.2,4,19,Parts per million,0.030375,0.043,8,40,Parts per billion,0.279167,1.5,18,1.0,Parts per million,0.191667,0.2,0,2.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2004-10-25,Parts per billion,17.625,30.0,18,28,Parts per million,0.012,0.026,8,22,Parts per billion,3.958333,6.0,21,9.0,Parts per million,0.404167,1.0,6,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2008-03-02,Parts per billion,10.666667,28.0,3,26,Parts per million,0.036125,0.049,10,42,Parts per billion,3.55,8.3,8,,Parts per million,0.234167,0.33,3,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2009-12-09,Parts per billion,11.909091,18.0,16,17,Parts per million,0.019375,0.028,10,24,Parts per billion,3.0,7.6,14,,Parts per million,0.183333,0.2,0,2.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2001-04-11,Parts per billion,10.541667,25.0,6,24,Parts per million,0.024667,0.041,8,35,Parts per billion,7.2625,16.3,23,,Parts per million,0.6125,0.7,5,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2001-03-21,Parts per billion,27.416667,56.0,23,53,Parts per million,0.025667,0.048,10,41,Parts per billion,14.791667,43.0,18,60.0,Parts per million,0.720833,2.5,23,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2013-05-16,Parts per billion,11.204167,27.8,5,25,Parts per million,0.034042,0.047,9,44,Parts per billion,0.1125,0.7,5,,Parts per million,0.225,0.3,6,3.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2009-07-11,Parts per billion,10.833333,21.0,5,20,Parts per million,0.033875,0.057,10,48,Parts per billion,0.1,0.1,2,,Parts per million,0.2,0.2,0,2.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2006-05-01,Parts per billion,21.0,42.0,7,40,Parts per million,0.039208,0.069,10,80,Parts per billion,2.275,4.3,11,,Parts per million,0.741667,1.4,4,16.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2003-02-23,Parts per billion,20.818182,40.0,0,38,Parts per million,0.026917,0.047,10,40,Parts per billion,3.416667,9.0,10,13.0,Parts per million,0.554167,1.5,4,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2002-09-18,Parts per billion,15.043478,26.0,0,25,Parts per million,0.00975,0.022,10,19,Parts per billion,2.625,12.0,1,17.0,Parts per million,0.695833,1.2,7,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2010-12-18,Parts per billion,8.375,17.0,19,16,Parts per million,0.021083,0.028,11,24,Parts per billion,0.7125,4.7,19,6.0,Parts per million,0.2025,0.23,0,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2014-11-27,Parts per billion,9.133333,25.1,4,24,Parts per million,0.023333,0.031,10,29,Parts per billion,1.3,4.0,5,,Parts per million,0.5,0.5,0,6.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2004-01-19,Parts per billion,13.333333,22.0,7,21,Parts per million,0.015958,0.02,9,17,Parts per billion,6.708333,17.0,6,24.0,Parts per million,0.6,0.6,0,7.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2015-04-14,Parts per billion,13.045833,24.8,8,23,Parts per million,0.016833,0.027,10,25,Parts per billion,0.468182,1.1,11,1.0,Parts per million,0.22375,0.33,20,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2012-12-30,Parts per billion,9.07619,37.5,20,35,Parts per million,0.02175,0.034,9,29,Parts per billion,0.225,0.8,23,,Parts per million,0.194444,0.3,20,3.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2007-08-31,Parts per billion,17.5,30.0,5,28,Parts per million,0.027417,0.045,8,38,Parts per billion,3.086957,13.0,23,19.0,Parts per million,0.267391,0.5,6,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2001-08-24,Parts per billion,25.625,52.0,0,49,Parts per million,0.042958,0.09,11,137,Parts per billion,1.521739,8.0,7,11.0,Parts per million,0.873913,1.5,5,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2009-10-12,Parts per billion,7.416667,20.0,14,19,Parts per million,0.006333,0.011,9,9,Parts per billion,0.175,0.5,20,,Parts per million,0.2,0.2,0,2.0,LA,4533372
